,ROWID,TIMESTAMP,ANONYMIZED_VEHICLE_NUMBER,VEHICLE_TYPE,NUMBER_OF_AXLES,TOLLPLAZA_ID,TOLLPLAZA CODE,TYPE_OF_PAYMENT_CODE,VEHICLE_CODE
38,39,Sun Aug  8 09:43:26 2021,9723146,CAR,2,4018,PCCB2657A,PTC,VC965
39,40,Mon Aug  2 16:18:51 2021,2871310,CAR,2,4827,PC7D68CD9,PTE,VC965
40,41,Sat Aug 14 13:13:47 2021,7657312,VAN,2,4115,PCF5D4B0A,PTC,VCD2F
41,42,Tue Aug  3 03:53:05 2021,9802000,CAR,2,4102,PC8C9B099,PTE,VC965
42,43,Mon Aug 16 00:36:00 2021,6514220,CAR,2,4398,PCE60D320,PTP,VC965
43,44,Fri Aug 20 02:10:55 2021,3803763,CAR,2,4918,PC8F8E598,PTE,VC965
44,45,Sat Aug 14 06:32:07 2021,2223161,CAR,2,4984,PCBABF130,PTP,VC965
45,46,Fri Jul 30 02:19:56 2021,1228573,TRUCK,4,4460,PCDF04952,PTP,VCB43
46,47,Wed Aug  4 14:30:03 2021,4872795,CAR,2,4326,PC356AE8F,PTC,VC965
47,48,Sat Aug 14 04:04:45 2021,2074513,VAN,2,4600,PCB99E8F9,PTE,VCD2F
48,49,Thu Aug 12 04:58:14 2021,7368256,CAR,2,4735,PC2294422,PTE,VC965
49,50,Wed Aug 11 10:50:27 2021,2168309,CAR,2,4162,PC51A39A7,PTP,VC965
50,51,Sun Aug  8 08:37:17 2021,5131457,CAR,2,4012,PCEF5C190,PTC,VC965
51,52,Mon Aug  9 23:48:43 2021,2398430,CAR,2,4223,PCA37D114,PTC,VC965
52,53,Wed Aug 18 17:50:45 2021,6065595,VAN,2,4990,PCFE28E92,PTP,VCD2F
53,54,Mon Aug  2 16:59:38 2021,9885768,CAR,2,4154,PC2C2EF9E,PTP,VC965
54,55,Thu Aug 19 04:54:56 2021,4327783,CAR,2,4913,PC685427C,PTC,VC965
55,56,Tue Aug 17 18:11:45 2021,3904834,TRUCK,4,4388,PC803F0F2,PTP,VCB43
56,57,Mon Aug  2 19:48:50 2021,1358382,CAR,2,4299,PCAD3B9BC,PTC,VC965
57,58,Tue Aug 17 16:46:31 2021,3579992,CAR,2,4725,PCB905D54,PTC,VC965
58,59,Wed Aug 11 22:21:30 2021,8130760,CAR,2,4229,PCD0DDD3D,PTE,VC965
59,60,Fri Jul 30 09:54:24 2021,6546218,CAR,2,4354,PC0671DD4,PTC,VC965
60,61,Sat Aug  7 16:42:24 2021,3673515,CAR,2,4127,PCA2D76A5,PTC,VC965
61,62,Wed Aug  4 20:43:54 2021,9888875,TRUCK,4,4522,PC0A326BE,PTP,VCB43
62,63,Sat Aug  7 20:44:08 2021,8136080,TRUCK,4,4410,PC6EFC03B,PTP,VCB43
63,64,Thu Aug 12 19:23:36 2021,2078447,VAN,2,4689,PC89C35AD,PTC,VCD2F
64,65,Sat Aug  7 16:41:49 2021,8090807,CAR,2,4296,PCA24C1E1,PTC,VC965
65,66,Sun Aug  1 07:32:04 2021,4309692,CAR,2,4303,PC2E2E0C0,PTC,VC965
66,67,Wed Aug 11 14:24:25 2021,3752767,CAR,2,4346,PCA35B156,PTC,VC965
67,68,Wed Aug  4 23:10:29 2021,9407219,CAR,2,4253,PC82A16E6,PTE,VC965
68,69,Wed Aug  4 14:29:11 2021,2167845,VAN,2,5007,PC869BDE8,PTP,VCD2F
69,70,Tue Aug 17 01:20:54 2021,7903517,CAR,2,4534,PCAD9E1F9,PTP,VC965
70,71,Sat Aug 21 02:09:35 2021,7385817,CAR,2,4742,PC05B8749,PTP,VC965
71,72,Thu Aug 19 17:52:30 2021,5673776,CAR,2,4944,PC41EEC34,PTC,VC965
72,73,Tue Aug 17 21:58:23 2021,823973,CAR,2,4171,PC36C9AE8,PTC,VC965
73,74,Tue Aug 10 13:03:36 2021,9361361,CAR,2,4750,PCD987A9D,PTP,VC965
74,75,Sat Aug 21 19:25:57 2021,8744445,CAR,2,4878,PC08F56A1,PTE,VC965
75,76,Sun Aug  8 14:01:06 2021,2910050,CAR,2,4274,PC88EA64E,PTP,VC965
76,77,Thu Aug  5 11:21:12 2021,1686323,CAR,2,4377,PC4AC8EAD,PTE,VC965
77,78,Sun Aug  1 07:10:55 2021,9113006,CAR,2,4265,PC5B2AFFA,PTE,VC965
78,79,Fri Jul 30 15:53:32 2021,660597,CAR,2,4304,PC89FB76E,PTC,VC965
79,80,Sun Aug 22 16:38:30 2021,8500934,CAR,2,4797,PCE2D63A7,PTE,VC965
80,81,Thu Aug 19 13:11:29 2021,395519,TRUCK,4,4061,PC3A63A79,PTP,VCB43
81,82,Mon Aug  9 14:17:00 2021,2616607,TRUCK,4,4085,PC6150735,PTC,VCB43
82,83,Sat Aug 14 10:36:28 2021,7218572,CAR,2,4675,PCE49911B,PTC,VC965
83,84,Thu Aug 12 11:53:03 2021,994857,TRUCK,4,4997,PC8111910,PTC,VCB43
84,85,Mon Aug  2 20:12:17 2021,3168436,CAR,2,4241,PC7241796,PTC,VC965
85,86,Fri Aug 13 20:06:41 2021,1572712,CAR,2,4890,PCAFC8A56,PTP,VC965
86,87,Thu Jul 29 17:35:21 2021,545955,CAR,2,4537,PC10C700F,PTP,VC965
87,88,Sun Aug 22 05:39:41 2021,2013386,CAR,2,4743,PCE6EEF2E,PTE,VC965
88,89,Wed Aug 11 02:43:03 2021,6566889,CAR,2,4026,PC2CE9851,PTC,VC965
89,90,Wed Aug 11 02:39:24 2021,852585,CAR,2,4373,PC8806694,PTE,VC965
90,91,Thu Jul 29 14:30:02 2021,6196238,TRUCK,4,4116,PCCA836C9,PTC,VCB43
91,92,Mon Aug  2 11:07:12 2021,6031416,TRUCK,4,4785,PC787D664,PTP,VCB43
92,93,Wed Aug  4 15:15:09 2021,6905906,VAN,2,5002,PC585BD38,PTP,VCD2F
93,94,Wed Aug 11 17:34:54 2021,3764238,CAR,2,4728,PC07BF95F,PTC,VC965
94,95,Thu Aug  5 06:31:23 2021,1673826,TRUCK,4,4015,PC524833E,PTE,VCB43
95,96,Sat Aug 21 18:13:29 2021,316662,CAR,2,4817,PCFF02057,PTP,VC965
96,97,Thu Aug 19 22:17:26 2021,2992127,TRUCK,4,4857,PC59F4E22,PTC,VCB43
97,98,Thu Aug 19 12:02:31 2021,7517992,CAR,2,4724,PC3DE08BF,PTC,VC965
98,99,Thu Aug 12 06:54:12 2021,6232948,TRUCK,4,4725,PCB905D54,PTP,VCB43
99,100,Fri Jul 30 08:09:03 2021,4369477,CAR,2,4591,PCC9875AC,PTC,VC965
100,101,Fri Aug  6 18:18:53 2021,4388245,TRUCK,4,4792,PC3E35002,PTP,VCB43
101,102,Sat Aug  7 20:49:07 2021,8392508,CAR,2,4927,PC2D22627,PTE,VC965
102,103,Fri Jul 30 16:08:08 2021,6858708,CAR,2,4397,PCB070250,PTE,VC965
103,104,Fri Aug  6 06:59:16 2021,6215048,TRUCK,4,4195,PC308070B,PTP,VCB43
104,105,Fri Aug 13 11:20:04 2021,7046549,TRUCK,4,4336,PCD30AB50,PTE,VCB43
105,106,Wed Aug  4 18:37:46 2021,7899881,TRUCK,4,4520,PC8140983,PTP,VCB43
106,107,Fri Aug 20 01:13:53 2021,9824238,CAR,2,4328,PC3777B8E,PTE,VC965
107,108,Sun Aug  8 10:25:38 2021,8180012,CAR,2,4749,PC65C93B7,PTC,VC965
108,109,Tue Aug 10 12:42:19 2021,426578,CAR,2,4990,PCFE28E92,PTP,VC965
109,110,Thu Jul 29 11:33:20 2021,3284775,CAR,2,4231,PC016D687,PTP,VC965
110,111,Sat Jul 31 18:42:46 2021,5487227,CAR,2,4643,PC6713209,PTC,VC965
111,112,Thu Aug 12 23:09:32 2021,1772941,CAR,2,4121,PCEC57A8E,PTP,VC965
112,113,Fri Aug 13 04:52:01 2021,2471284,VAN,2,4400,PC3BD7D63,PTP,VCD2F
113,114,Sun Aug 22 03:05:40 2021,6040036,CAR,2,4119,PC9EBEDB5,PTE,VC965
114,115,Fri Aug 13 12:39:10 2021,9249042,TRUCK,4,4695,PC4A5D62F,PTE,VCB43
115,116,Mon Aug  9 22:59:28 2021,5791925,CAR,2,4495,PC210A754,PTC,VC965
116,117,Fri Aug  6 01:01:14 2021,3696614,TRUCK,4,4434,PCA491459,PTE,VCB43
117,118,Mon Aug  2 05:42:51 2021,7892550,CAR,2,4299,PCAD3B9BC,PTC,VC965
118,119,Sun Aug  1 19:31:14 2021,5673214,VAN,2,4023,PC77793DF,PTE,VCD2F
119,120,Fri Aug  6 05:58:42 2021,6657095,TRUCK,4,4365,PC0F226DF,PTC,VCB43
120,121,Mon Aug  9 16:03:31 2021,2067579,VAN,2,4582,PC98750ED,PTC,VCD2F
121,122,Fri Aug 13 11:42:48 2021,1005686,CAR,2,4119,PC9EBEDB5,PTE,VC965
122,123,Sun Aug  8 02:44:35 2021,7521772,VAN,2,4416,PC546F252,PTE,VCD2F
123,124,Sun Aug 15 08:43:48 2021,6545042,CAR,2,4898,PC0AE9E1B,PTP,VC965
124,125,Mon Aug  9 05:03:17 2021,3473929,TRUCK,4,4698,PC8BCEB19,PTE,VCB43
125,126,Sun Aug 22 02:13:18 2021,29457,CAR,2,4416,PC546F252,PTP,VC965
126,127,Sat Aug 21 23:03:24 2021,7360318,CAR,2,4993,PC0F0AB4E,PTE,VC965
127,128,Tue Aug 17 10:32:29 2021,3427163,TRUCK,4,4356,PCF1979AE,PTE,VCB43
128,129,Fri Jul 30 08:44:05 2021,3007179,VAN,2,4504,PC461DCD3,PTP,VCD2F
129,130,Fri Aug 20 06:01:27 2021,2151509,CAR,2,4811,PCBF83C7A,PTC,VC965
130,131,Sat Jul 31 05:17:21 2021,1067960,CAR,2,4574,PCC1F6F13,PTC,VC965
131,132,Tue Aug  3 07:01:26 2021,1100257,CAR,2,4116,PCCA836C9,PTE,VC965
132,133,Sun Aug 22 10:01:40 2021,4346999,CAR,2,4049,PC4779D38,PTC,VC965
133,134,Sat Aug 14 17:24:04 2021,4371005,CAR,2,4435,PC3E78C17,PTP,VC965
134,135,Sat Aug 14 11:50:01 2021,1583109,CAR,2,4272,PC09BDC08,PTE,VC965
135,136,Wed Aug 18 07:26:20 2021,8808595,CAR,2,4929,PC9E503B6,PTE,VC965
136,137,Thu Aug  5 01:15:16 2021,1841800,VAN,2,4531,PC857F4A0,PTE,VCD2F
137,138,Sat Jul 31 00:28:44 2021,1825050,CAR,2,4222,PC15EC378,PTP,VC965
138,139,Fri Aug 13 09:54:01 2021,8490556,CAR,2,4657,PCC591410,PTE,VC965
139,140,Thu Jul 29 23:02:42 2021,2549393,TRUCK,4,4481,PC30AAE76,PTE,VCB43
140,141,Wed Aug 11 13:15:55 2021,9636921,TRUCK,4,4145,PC5FBE4B8,PTP,VCB43
141,142,Thu Aug 19 21:13:57 2021,8899022,TRUCK,4,4813,PCACF7982,PTP,VCB43
142,143,Thu Aug 19 08:46:24 2021,8112100,VAN,2,4585,PCF3AE602,PTC,VCD2F
143,144,Thu Jul 29 16:02:19 2021,335366,CAR,2,4924,PCE3427C5,PTE,VC965
144,145,Sat Jul 31 19:32:50 2021,1716955,TRUCK,4,4584,PC1085B78,PTE,VCB43
145,146,Sat Aug 21 13:56:33 2021,4153555,VAN,2,4225,PCC1ED0C5,PTC,VCD2F
146,147,Sat Jul 31 12:55:05 2021,5626263,CAR,2,4719,PCBD66B01,PTE,VC965
147,148,Fri Aug  6 23:05:57 2021,49472,CAR,2,4830,PC12EEFE0,PTE,VC965
148,149,Thu Aug  5 15:24:15 2021,2497636,CAR,2,4073,PCA3797CA,PTE,VC965
149,150,Tue Aug  3 19:13:15 2021,7825358,TRUCK,4,4954,PCA276EBB,PTC,VCB43
150,151,Sat Jul 31 11:27:59 2021,6084818,VAN,2,4732,PCD83DE25,PTE,VCD2F
151,152,Thu Aug 19 18:53:39 2021,5455899,CAR,2,4155,PC9042B3F,PTP,VC965
152,153,Tue Aug 17 22:11:51 2021,1849505,VAN,2,4142,PC7ACFF7C,PTP,VCD2F
153,154,Wed Aug 18 19:49:38 2021,6114302,CAR,2,4737,PCED7EAFE,PTC,VC965
154,155,Sun Aug 15 12:34:18 2021,8064123,CAR,2,4337,PCCF6A454,PTP,VC965
155,156,Fri Aug  6 19:17:50 2021,538972,TRUCK,4,4507,PC11DCA73,PTE,VCB43
156,157,Fri Jul 30 13:58:53 2021,6869546,TRUCK,4,4092,PC40C2E00,PTE,VCB43
157,158,Mon Aug  2 16:00:33 2021,3766512,CAR,2,4269,PCC7106FF,PTP,VC965
158,159,Fri Aug 20 21:45:41 2021,3528403,CAR,2,4610,PCA4D3E9B,PTC,VC965
159,160,Fri Aug 20 04:59:50 2021,4380057,VAN,2,4980,PCBD5C822,PTP,VCD2F
160,161,Sun Aug 15 00:36:59 2021,7876599,CAR,2,4295,PCD483999,PTC,VC965
161,162,Fri Aug 13 00:25:06 2021,969619,CAR,2,4412,PC821BC98,PTP,VC965
162,163,Fri Jul 30 13:42:03 2021,5763049,CAR,2,4364,PCB33ACE8,PTC,VC965
163,164,Mon Aug 16 05:46:00 2021,6079402,TRUCK,4,4290,PC84E8CEF,PTE,VCB43
164,165,Sun Aug  1 22:59:23 2021,4832816,CAR,2,4264,PC9DFEBB0,PTP,VC965
165,166,Fri Aug 20 12:19:46 2021,3518759,TRUCK,4,4412,PC821BC98,PTE,VCB43
166,167,Sat Jul 31 02:42:05 2021,4469770,TRUCK,4,4712,PC94168A2,PTP,VCB43
167,168,Fri Aug  6 11:25:34 2021,7942552,TRUCK,4,4603,PC485BE5B,PTC,VCB43
168,169,Tue Aug 17 21:17:32 2021,2493747,TRUCK,4,4180,PC250A90D,PTC,VCB43
169,170,Tue Aug  3 15:31:28 2021,8099060,CAR,2,4592,PC627AA14,PTE,VC965
170,171,Fri Aug 20 22:50:25 2021,4492765,TRUCK,4,4008,PC5680D80,PTC,VCB43
171,172,Fri Aug  6 07:45:56 2021,5758058,CAR,2,4083,PC90346C9,PTC,VC965
172,173,Thu Aug 19 00:24:55 2021,9496559,CAR,2,4573,PC4D8469D,PTE,VC965
173,174,Fri Jul 30 02:24:22 2021,3174341,CAR,2,4642,PC17D596F,PTP,VC965
174,175,Fri Aug 13 05:55:34 2021,3318165,CAR,2,4693,PCB4CDDA5,PTP,VC965
175,176,Mon Aug  2 14:28:14 2021,7509515,TRUCK,4,4787,PC1BDA119,PTE,VCB43
176,177,Tue Aug  3 12:47:44 2021,367073,CAR,2,4989,PC7D7AE48,PTP,VC965
177,178,Sun Aug  8 09:26:56 2021,8543348,TRUCK,4,4803,PC2BBEEDC,PTP,VCB43
178,179,Fri Aug 20 04:16:14 2021,4588656,CAR,2,4848,PCF0FC9B2,PTE,VC965
179,180,Fri Aug 20 04:22:16 2021,9706662,CAR,2,4377,PC4AC8EAD,PTC,VC965
180,181,Tue Aug 10 03:28:33 2021,3359010,CAR,2,4947,PCE4A44BE,PTC,VC965
181,182,Wed Aug 18 11:24:47 2021,7639441,CAR,2,4439,PC845CEA6,PTE,VC965
182,183,Tue Aug  3 08:52:25 2021,9449600,CAR,2,4346,PCA35B156,PTE,VC965
183,184,Wed Aug 11 06:39:10 2021,7572233,CAR,2,4718,PC81E83B9,PTP,VC965
184,185,Fri Aug 20 03:23:49 2021,7096671,TRUCK,4,4049,PC4779D38,PTP,VCB43
185,186,Fri Jul 30 23:54:00 2021,6218100,CAR,2,4579,PC926F0A9,PTC,VC965
186,187,Wed Aug 11 07:11:55 2021,9500467,VAN,2,4985,PCCA71D2C,PTC,VCD2F
187,188,Sun Aug 15 20:41:12 2021,2551672,TRUCK,4,4356,PCF1979AE,PTP,VCB43
188,189,Wed Aug 18 18:28:36 2021,4423795,CAR,2,4631,PCFFF6463,PTE,VC965
189,190,Mon Aug  9 07:19:12 2021,1520424,CAR,2,4898,PC0AE9E1B,PTE,VC965
190,191,Tue Aug 10 16:39:12 2021,5680437,CAR,2,4022,PCF135377,PTC,VC965
191,192,Mon Aug  9 02:30:05 2021,1469208,VAN,2,4586,PC4A40D50,PTC,VCD2F
192,193,Mon Aug  9 06:58:52 2021,9017449,CAR,2,4733,PC797AEBF,PTP,VC965
193,194,Sat Aug  7 03:09:03 2021,9014873,TRUCK,4,4764,PCF6B0D12,PTC,VCB43
194,195,Sat Aug  7 21:03:28 2021,6849933,CAR,2,4466,PC6E93A05,PTE,VC965
195,196,Sun Aug  1 00:29:43 2021,1907386,CAR,2,4158,PCAA68777,PTP,VC965
196,197,Sun Aug  1 01:56:36 2021,5556619,TRUCK,4,4111,PC07F012A,PTP,VCB43
197,198,Tue Aug 17 00:22:53 2021,8724319,TRUCK,4,4591,PCC9875AC,PTC,VCB43
198,199,Mon Aug  9 08:24:12 2021,4066334,CAR,2,4015,PC524833E,PTE,VC965
199,200,Sat Jul 31 19:46:31 2021,1208453,CAR,2,4420,PCFDB2950,PTE,VC965
200,201,Fri Aug  6 18:13:51 2021,8705286,TRUCK,4,4924,PCE3427C5,PTE,VCB43
201,202,Thu Aug 12 00:17:15 2021,758555,CAR,2,4501,PC5D41947,PTP,VC965
202,203,Tue Aug 10 22:07:00 2021,7388283,CAR,2,4026,PC2CE9851,PTE,VC965
203,204,Sun Aug  8 07:16:20 2021,7589773,CAR,2,4280,PC03A5F23,PTE,VC965
204,205,Wed Aug 18 08:29:07 2021,2316095,CAR,2,4953,PC1E2B07E,PTP,VC965
205,206,Tue Aug 10 20:36:42 2021,1847455,VAN,2,4923,PC8A7A22A,PTE,VCD2F
206,207,Fri Aug 13 05:36:53 2021,7707016,CAR,2,4283,PC953B572,PTP,VC965
207,208,Sun Aug  1 04:10:44 2021,2616520,TRUCK,4,4899,PC4967767,PTE,VCB43
208,209,Sun Aug 15 11:41:43 2021,8332760,TRUCK,4,4560,PC5030572,PTP,VCB43
209,210,Mon Aug  9 05:19:02 2021,9677148,CAR,2,4037,PC0A50259,PTP,VC965
210,211,Wed Aug  4 19:23:36 2021,2695699,CAR,2,4610,PCA4D3E9B,PTC,VC965
211,212,Fri Aug 20 04:00:27 2021,1836057,CAR,2,4775,PCA50FB36,PTP,VC965
212,213,Wed Aug 18 09:20:33 2021,7980271,TRUCK,4,4414,PC40BD0F3,PTP,VCB43
213,214,Sat Jul 31 01:41:58 2021,9166253,CAR,2,4915,PC86B0D7B,PTC,VC965
214,215,Mon Aug  2 20:26:27 2021,5966610,CAR,2,4618,PC8F4AF85,PTE,VC965
215,216,Tue Aug 10 14:11:13 2021,8273227,CAR,2,4909,PCDED6F20,PTP,VC965
216,217,Tue Aug 17 11:21:41 2021,4772310,CAR,2,4497,PC76FDDEA,PTP,VC965
217,218,Thu Aug 12 01:18:11 2021,401226,CAR,2,4401,PC0606D6A,PTC,VC965
218,219,Mon Aug  2 22:30:06 2021,5259884,VAN,2,4284,PC0DB49FD,PTE,VCD2F
219,220,Thu Aug 12 13:20:29 2021,4560546,CAR,2,4235,PCFB11406,PTC,VC965
220,221,Fri Aug  6 23:10:56 2021,3679257,TRUCK,4,4482,PCB6A16D7,PTE,VCB43
221,222,Sun Aug  8 01:28:48 2021,5001460,CAR,2,4981,PC6B14C5D,PTC,VC965
222,223,Thu Aug 12 14:26:03 2021,488809,CAR,2,4175,PC08EA270,PTE,VC965
223,224,Sun Aug 15 16:57:15 2021,4435309,CAR,2,4188,PCDB12C82,PTE,VC965
224,225,Fri Aug  6 17:35:18 2021,9206176,CAR,2,4015,PC524833E,PTC,VC965
225,226,Sat Aug  7 03:08:44 2021,5665208,TRUCK,4,4230,PC19CE0DB,PTP,VCB43
226,227,Sun Aug  1 05:31:31 2021,3619766,CAR,2,4686,PCD6E5E77,PTC,VC965
227,228,Wed Aug 18 09:22:29 2021,8195160,CAR,2,4123,PCDE850D8,PTE,VC965
228,229,Wed Aug  4 05:40:04 2021,689804,TRUCK,4,4283,PC953B572,PTC,VCB43
229,230,Mon Aug 16 02:36:38 2021,7671204,CAR,2,4016,PCCD7399B,PTC,VC965
230,231,Fri Aug  6 19:31:40 2021,7549660,TRUCK,4,4504,PC461DCD3,PTC,VCB43
231,232,Mon Aug  2 17:00:36 2021,6999001,CAR,2,4377,PC4AC8EAD,PTE,VC965
232,233,Thu Aug 12 15:17:57 2021,3470780,TRUCK,4,4971,PC0BD172F,PTC,VCB43
233,234,Sat Aug  7 15:21:43 2021,3321932,CAR,2,4031,PC0214185,PTC,VC965
234,235,Mon Aug  9 04:56:23 2021,2993477,TRUCK,4,4965,PCA0BAE0F,PTE,VCB43
235,236,Fri Aug 13 09:02:27 2021,7137012,CAR,2,4350,PCEDD7E85,PTC,VC965
236,237,Mon Aug  2 07:55:35 2021,4425207,CAR,2,4232,PC4156AD5,PTP,VC965
237,238,Sat Aug 14 11:54:16 2021,8906007,CAR,2,4592,PC627AA14,PTE,VC965
238,239,Sat Jul 31 04:23:09 2021,2613132,CAR,2,4760,PC161AC8D,PTP,VC965
239,240,Mon Aug 16 01:53:03 2021,1351738,TRUCK,4,5002,PC585BD38,PTE,VCB43
240,241,Sat Aug 14 11:49:22 2021,8845283,CAR,2,4974,PCDEB8E32,PTE,VC965
241,242,Wed Aug 18 19:07:34 2021,5207716,CAR,2,4361,PC2E0C888,PTE,VC965
242,243,Mon Aug  9 05:34:28 2021,2593435,CAR,2,4946,PCCF18BAF,PTP,VC965
243,244,Sat Aug 14 08:00:30 2021,3194131,CAR,2,4314,PC7E9E8F3,PTC,VC965
244,245,Sat Aug 14 08:01:53 2021,946473,CAR,2,4784,PCDB42B34,PTE,VC965
245,246,Mon Aug  2 19:28:13 2021,2098761,TRUCK,4,4611,PC2EBEAB9,PTE,VCB43
246,247,Wed Aug 11 02:53:00 2021,7556070,VAN,2,4515,PC6A1B37B,PTP,VCD2F
247,248,Fri Aug 13 20:51:49 2021,7949412,CAR,2,4531,PC857F4A0,PTC,VC965
248,249,Mon Aug 16 01:15:58 2021,4982057,CAR,2,4070,PCEECA8B2,PTE,VC965
249,250,Sun Aug 15 04:10:44 2021,1732371,CAR,2,4891,PC57036DA,PTC,VC965
250,251,Sun Aug  8 23:50:15 2021,4012995,CAR,2,4325,PC8FC83B3,PTE,VC965
251,252,Wed Aug 18 07:43:49 2021,2596237,CAR,2,4672,PC03AE86F,PTP,VC965
252,253,Mon Aug  2 17:51:59 2021,8381319,CAR,2,4147,PC4D2C5A7,PTC,VC965
253,254,Wed Aug 11 21:55:31 2021,5062265,TRUCK,4,4049,PC4779D38,PTC,VCB43
254,255,Mon Aug 16 17:16:35 2021,7705983,CAR,2,4748,PCF2ECD29,PTE,VC965
255,256,Thu Jul 29 16:35:35 2021,2307979,VAN,2,4654,PCBA5D8AB,PTC,VCD2F
256,257,Mon Aug 16 03:21:45 2021,2588561,CAR,2,4890,PCAFC8A56,PTC,VC965
257,258,Sun Aug  8 12:39:42 2021,6847371,CAR,2,4972,PCC51AD39,PTE,VC965
258,259,Tue Aug 17 15:39:08 2021,2121085,CAR,2,4709,PCC8C7059,PTE,VC965
259,260,Tue Aug  3 01:37:46 2021,1734512,CAR,2,4788,PC00AE965,PTC,VC965
260,261,Tue Aug 17 22:18:40 2021,7759834,TRUCK,4,4306,PC5D6563A,PTE,VCB43
261,262,Mon Aug 16 10:41:55 2021,6292412,CAR,2,4436,PC0CF9451,PTE,VC965
262,263,Fri Aug 13 11:00:14 2021,866998,CAR,2,4039,PC73BE1E2,PTC,VC965
263,264,Thu Aug 12 23:25:40 2021,9057323,TRUCK,4,4612,PC871C1FC,PTC,VCB43
264,265,Fri Aug  6 03:55:57 2021,8091650,CAR,2,4686,PCD6E5E77,PTP,VC965
